# {
#   "profile": "Insectendoos Specimen Import",
#   "version": "1.0",
#   "delimiter": ";",
#   "ignoreEmptyRows": true,
#   "isConfidential": false,
#   "steps": [
#     {
#       "step": 1,
#       "target": "parent_object",
#       "contextKey": "DoosId",
#       "labelTemplate": "Insectendoos: {0}",
#       "objectTypeId": "019fcd20-b442-755f-af50-9cdf9716990d",
#       "parameters": [
#         { "parameterId": "019fc74c-cf8c-74ff-a3b6-b6d21c651a19", "column": 1 }
#       ]
#     },
#     {
#       "step": 2,
#       "target": "child_object",
#       "labelTemplate": "Specimen groep: {2} {3}",
#       "objectTypeId": "019fcd20-b56f-76ae-9bf0-f98a0354b7ca",
#       "relations": [
#         { 
#           "relationTypeId": "019fad01-ca30-769d-8c9c-6fc70fa9db0a", 
#           "relatedContextKey": "DoosId", 
#           "direction": "outgoing" 
#         }
#       ],
#       "parameters": [
#         { "parameterId": "019fad6f-c149-7795-b3e5-751c8b2b7949", "column": 4 }
#       ]
#     }
#   ]
# }
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Tachnus";"lignorum";1
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Tachnus";"proximus";1
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Tachnus";"humeralis";8
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Tachnus";"subterraneus";5
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Tachnus";"pallipes";1
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Tachnus";"fimetarius";7
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Tachnus";"rufipes";15
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Tachnus";"laticollis";14
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Tachnus";"marginellus";11
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Tachnus";"corticinus";11
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Leucoparyphus";"silphoides";1
;;;;
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Deinopsis";"erosa";2
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Gymnusa";"brevicollis";5
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Gymnusa";"variegata";2
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Myllaena";"dubia";1
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Myllaena";"intermedia";1
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Myllaena";"kraatzi";1
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Myllaena";"gracilis";1
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Myllaena";"minuta";1
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Oligota";"inflata";1
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Oligota";"pusillima";3
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Hygronoma";"dimidiata";3
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Gyrophaena";"affinis";1
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Gyrophaena";"nana";1
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Gyrophaena";"fasciata";7
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Gyrophaena";"bihamata";3
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Gyrophaena";"joyioides";6
"15-11: 17.10.16L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 15";"Gyrophaena";"manca";3
;;;;
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Placusa";"pumilio";1
